id,url,title,lead_paragraph,category,publish_datetime,source,thumbnail_url,label
article_1819,https://thanhnien.vn/my-sap-cap-lai-lich-phong-van-visa-du-hoc-tai-viet-nam-sau-khi-tam-dung-185250620205332086.htm,Mỹ sắp cấp lại lịch phỏng vấn visa cho du học sinh Việt Nam,"Thông tin được chia sẻ bởi Phái đoàn Ngoại giao Mỹ tại Việt Nam, hai ngày sau khi Mỹ thông báo sẽ nối lại hoạt động phỏng vấn cấp visa du học sau hơn 3 tuần đình chỉ.",Giáo dục & Học đường,2025-06-20T21:00:00+07:00,Thanh Niên,data/images/article_1819_image.png,non-clickbait
article_0190,https://www.24h.com.vn/tin-tuc-trong-ngay/ha-noi-chuyen-co-quan-cong-an-4-vu-viec-ve-vi-pham-hang-hoa-tai-thu-phu-banh-keo-gia-cong-la-phu-c46a1674915.html,Hà Nội: Chuyển cơ quan công an 4 vụ việc về vi phạm hàng hóa tại thủ phủ bánh kẹo gia công La Phù,"Ngày 22/6, Chi cục QLTT TP Hà Nội cho biết, 4 vụ việc liên quan đến hàng hóa tại xã La Phù (huyện Hoài Đức) được chuyển đến cơ quan công an để tiếp tục điều tra, xử lý theo quy định trong giai đoạn từ năm 2023 đến hết ngày 15/6/2025.",Tin tức tổng hợp,2025-06-23T07:46:55+07:00,24h,data/images/article_0190_image.png,non-clickbait
article_1715,https://vnexpress.net/juventus-4-1-wydad-4904857.html,Juventus 4-1 Wydad,Bàn phản lưới từ sớm giúp Juventus thắng dễ đại diện Morocco ở lượt hai bảng G FIFA Club World Cup 2025.,Thể thao,2025-06-23T05:40:00+07:00,VnExpress,data/images/article_1715_image.png,non-clickbait
article_2511,https://vnexpress.net/sinh-vien-truyen-thong-nhan-luong-thang-9-17-trieu-dong-sau-tot-nghiep-4898321.html,Sinh viên truyền thông nhận lương tháng 9-17 triệu đồng sau tốt nghiệp,"Lương của sinh viên ngành truyền thông mới ra trường phổ biến ở mức 9-17 triệu đồng một tháng, cao là 30 triệu đồng, theo một số giảng viên.",Other,2025-06-20T15:27:00+07:00,VnExpress,data/images/article_2511_image.png,non-clickbait
article_3230,https://www.24h.com.vn/giai-tri/truong-giang-bi-tran-thanh-thay-the-o-running-man-phien-ban-viet-vi-ly-do-gi-c731a1671810.html,Trường Giang bị Trấn Thành thay thế ở Running Man phiên bản Việt vì lý do gì?,"Trường Giang mới đây đã không còn ở vị trí MC chính của chương trình “Running Man“, thay vào đó là MC Trấn Thành. Nhiều người tò mò nguyên nhân MC quê Quảng Nam bị đồng nghiệp thay thế.",Giải trí & Showbiz,2025-06-11T14:23:05+07:00,24h,data/images/article_3230_image.png,clickbait
article_1325,https://baomoi.com/gia-tri-hang-hoa-tu-cay-nghe-bac-kan-c52573081.epi,Giá trị hàng hóa từ cây nghệ Bắc Kạn - Tạp chí Công thương,"Trồng nghệ hiện là hướng phát triển kinh tế bền vững của nhiều hộ dân tại tỉnh Bắc Kạn, nhất là sự liên kết của người dân với doanh nghiệp đã tạo ra lượng hàng hóa lớn đáp ứng nhu cầu thị trường.",Other,2025-06-23T08:05:00.000Z,Báo Mới,data/images/article_1325_image.png,non-clickbait
article_0995,https://www.saostar.vn/am-nhac/g-dragon-doi-non-la-lo-dien-tai-san-my-dinh-202506211602436358.html,G-Dragon kết show gây hụt hẫng,Đêm nhạc có sự xuất hiện của G-Dragon đang đếm ngược từng giờ!,Giải trí & Showbiz,2025-06-21T21:48:11.303+07:00,SaoStar,data/images/article_0995_image.png,clickbait
article_3037,https://vnexpress.net/xe-dau-keo-huc-vo-tru-cuu-hoa-nuoc-phun-cao-chuc-met-4904121.html,"Xe đầu kéo húc vỡ trụ cứu hỏa, nước phun cao chục mét",Trung QuốcNgười đàn ông ra hiệu dừng lại nhưng dường như tài xế không nhìn thấy khiến chiếc xe húc trúng trụ cứu hỏa.,Other,2025-06-21T06:00:00+07:00,VnExpress,data/images/article_3037_image.png,non-clickbait
article_0089,https://thanhnien.vn/thu-tuong-sua-luat-thuong-mai-dien-tu-de-siet-hang-gia-hang-nhai-185250617214148292.htm,"Thủ tướng: Sửa luật Thương mại điện tử để 'siết' hàng giả, hàng nhái","Thủ tướng nhấn mạnh, việc sửa luật Thương mại điện tử phải xử lý được những mặt trái, tiêu cực, phòng chống hàng giả, hàng nhái, buôn lậu, đồng thời phải phù hợp với các hộ kinh doanh, doanh nghiệp nhỏ, siêu nhỏ.",Chính trị & An ninh,2025-06-17T22:07:00+07:00,Thanh Niên,data/images/article_0089_image.png,non-clickbait
article_3497,https://baomoi.com/dong-ho-hon-19-000-usd-chua-cat-o-tat-ca-tieu-vuong-quoc-thuoc-uae-c52569867.epi,Đồng hồ hơn 19.000 USD chứa cát ở tất cả tiểu vương quốc thuộc UAE - Tạp chí Tri thức,Cỗ máy mới của Ressence gây chú ý khi mặt số được làm từ cát thật lấy từ Các Tiểu vương quốc Arab Thống nhất (UAE).,Xe & Vận tải,2025-06-23T02:10:35.000Z,Báo Mới,data/images/article_3497_image.png,non-clickbait
article_1867,https://www.saostar.vn/song-khoe/5-thoi-quen-buoi-sang-am-tham-nuoi-benh-ung-thu-ma-ban-khong-biet-202506231031139109.html,5 thói quen buổi sáng âm thầm 'nuôi' bệnh ung thư mà bạn không biết,"Nhiều thói quen tưởng chừng vô hại vào buổi sáng lại âm thầm ảnh hưởng sức khỏe, làm tăng nguy cơ mắc bệnh ung thư nếu duy trì thường xuyên trong thời gian dài.",Sức khỏe & Đời sống,2025-06-23T10:31:14.579+07:00,SaoStar,data/images/article_1867_image.png,clickbait
article_2047,https://thanhnien.vn/thu-vi-hanh-trinh-lang-nghe-tieng-rung-185250621110321467.htm,Thú vị hành trình lắng nghe tiếng rừng,"Lấy cảm hứng từ bút ký Những chiều kích của rừng của nhà văn Nguyên Ngọc, chương trình cùng tên diễn ra vào trung tuần tháng 7.2025 sẽ có loạt hoạt động hết sức thú vị tại miền núi Quảng Nam.",Du lịch & Ẩm thực,2025-06-21T12:02:00+07:00,Thanh Niên,data/images/article_2047_image.png,non-clickbait
article_3003,https://baomoi.com/anh-ve-tinh-ve-thiet-hai-o-co-so-hat-nhan-fordow-do-bom-pha-boong-ke-gay-ra-c52569893.epi,Ảnh vệ tinh về thiệt hại ở cơ sở hạt nhân Fordow do bom phá boong-ke gây ra - Công An TP.HCM,"Các cuộc không kích của Mỹ vào cơ sở hạt nhân Fordow của Iran dường như đã để lại ít nhất sáu hố bom lớn, cho thấy việc sử dụng bom phá boong-ke ở đây, theo hình ảnh vệ tinh.",Công nghệ & Khoa học,2025-06-22T18:00:00.000Z,Báo Mới,data/images/article_3003_image.png,non-clickbait
article_0422,https://kenh14.vn/thuong-doan-van-hau-qua-rat-may-da-co-doan-hai-my-day-roi-215250622225123123.chn,"Thương Đoàn Văn Hậu quá, rất may đã có Doãn Hải My đây rồi!",Hậu vệ Đoàn Văn Hậu không nhận huy chương ngày CLB CAHN giành hạng 3 V.League 2024/2025.,Thể thao,2025-06-23T08:00:00,Kênh14,data/images/article_0422_image.png,clickbait
article_0583,https://vnexpress.net/xe-dien-gia-re-trung-quoc-tran-ngap-brazil-4904018.html,Xe điện giá rẻ Trung Quốc tràn ngập Brazil,"Cuối tháng 5, BYD Shenzhen - tàu chở ôtô lớn nhất thế giới, có sức chứa tương đương 20 sân bóng đá - cập cảng Itajai của Brazil.",Kinh doanh & Kinh tế,2025-06-21T00:10:00+07:00,VnExpress,data/images/article_0583_image.png,non-clickbait
article_3194,https://www.24h.com.vn/giai-tri/nghe-si-chi-tam-73-tuoi-ngoi-khong-cung-co-gan-30-trieu-thang-c731a1673079.html,Nghệ sĩ Chí Tâm 73 tuổi ngồi không cũng có hơn 30 triệu/tháng,"Nhờ làm việc chăm chỉ, nghệ sĩ cải lương Chí Tâm hưởng tuổi già sung túc và bình yên.",Giải trí & Showbiz,2025-06-20T06:07:00+07:00,24h,data/images/article_3194_image.png,clickbait
